#any line preceeded with a # is a comment
#First line must be layout information, either
#layout: mercator (expects x and y to be lat/lon)
#layout: direct (x and y are just pixel coordinates)

layout: mercator

#Next line must be whether to use edge routing or not
edgeRouting: true
#edgeRouting: false

#Next line must be whether to use layout adjustment or not
adjustNodes: true
#adjustNodes: false

#next is source info
#source name, x, y
CA, 37.824644286057, -120.823074866985,

#destinations go on next lines
#name, x, y, value
AK, 60.3501992402253, -149.230191831236, 9914
AL, 32.880450063677, -86.702509865832, 10007
AR, 34.9188469950358, -92.429013264974, 11340
AZ, 33.6551138559977, -111.446721903483, 92452
CA, 37.824644286057, -120.823074866985, 3087987
CO, 38.9222746349516, -105.502252003503, 56050
CT, 41.5888428688049, -72.6502799987793, 17851
DC, 38.9136123657227, -77.0132217407227, 8845
DE, 39.1465835571289, -75.5047505696615, 2565
FL, 28.9389770564748, -82.6974137718998, 65211
GA, 32.8112036507085, -83.5774902247783, 28610
HI, 21.0398441314697, -157.298687744141, 44192
IA, 42.026041705199, -93.4676034330118, 12194
ID, 44.2596261284568, -114.502467068759, 15835
IL, 39.8442733241063, -89.1749391742781, 74139
IN, 39.8392207104227, -86.2186364712922, 20097
KS, 38.4885291689918, -98.0751427786691, 12385
KY, 37.6237838745117, -85.1968238194784, 7826
LA, 31.1041933596134, -91.8346582651138, 17805
MA, 42.1099373953683, -71.4440629141671, 43591
MD, 39.016930103302, -76.6675793329875, 27483
ME, 44.5929148197174, -69.4918351173401, 4781
MI, 44.0341707712196, -85.1826889773449, 36151
MN, 45.5369993187915, -94.4276529947917, 22079
MO, 38.4480049133301, -92.4814332381539, 24291
MS, 32.7943189900096, -89.6432060613865, 6474
MT, 46.9641146659851, -109.680493082319, 9858
NC, 35.6192039489746, -79.5079425811768, 27394
ND, 47.3940846425182, -100.237543214042, 3290
NE, 41.3203385876071, -99.0234931207472, 8436
NH, 43.4498104095459, -71.5615364074707, 6407
NJ, 40.2881544203985, -74.6102509271531, 35140
NM, 34.5639269279711, -105.891454754454, 21692
NV, 39.1872913136202, -117.583270802217, 60488
NY, 42.5354146034487, -75.4724233073573, 95952
OH, 40.3115996880965, -82.8307361602783, 34127
OK, 35.503209547563, -97.2445149607473, 17416
OR, 44.5351737340291, -121.527920193142, 67642
PA, 40.8096877710143, -77.6039216909836, 39185
RI, 41.6552146911621, -71.4169738769531, 5005
SC, 33.9605824014415, -80.9752855715544, 9710
SD, 44.2715996250962, -99.3199896378951, 3246
TN, 35.8861610011051, -86.1089816444799, 15106
TX, 31.6545249458373, -98.6517881258266, 115929
UT, 39.6345238521181, -111.5990463783, 31843
VA, 37.5653022200973, -78.5246051364475, 44896
VT, 44.1599834987095, -72.68346623012, 3594
WA, 47.2235717773438, -120.764841128618, 95469
WI, 44.391443517473, -89.7909241782294, 17229
WV, 38.8231425892223, -80.6277619795366, 2523
WY, 43.0494019881539, -107.142262666122, 5219

